designation;nro;bprp;gabs;mass(Msun);prob
Gaia EDR3 1171726623775534080;271;1,0498028;14,46267498;0,435229986;0,934865475
Gaia EDR3 1172780578685760512;272;0,9290352;14,35868569;0,491003019;0,795002222
Gaia EDR3 1173230210222240640;273;0,40712166;13,34192153;0,666576981;0,562382936
Gaia EDR3 1174070610767977728;274;0,12440109;13,19747884;0,990821213;0,699833632
Gaia EDR3 1174996090320432000;275;0,43078423;13,87918325;0,849929517;0,605588019
Gaia EDR3 1176312965948448512;276;0,5340729;13,91917648;0,741145512;0,50705564
Gaia EDR3 1176378520034381952;277;0,9692421;14,53583123;0,517031248;0,824492931
Gaia EDR3 117651695542992256;278;0,40053558;13,02874595;0,555467823;0,549781024
Gaia EDR3 1176717792385803136;279;-2,89E-02;11,72869456;0,613836349;0,952919006
Gaia EDR3 1176784239825009280;280;0,18275452;12,59625455;0,680234293;0,767743111
Gaia EDR3 1176899898999183360;281;-0,17489243;11,13630619;0,569132488;0,949896216
Gaia EDR3 117911562539967488;282;0,7069893;13,91588356;0,600132998;0,499409556
Gaia EDR3 1179626958418884864;283;1,0518055;14,62241665;0,486601753;0,883877516
Gaia EDR3 1179764607826002688;284;0,15772438;12,65056956;0,73867283;0,899748325
Gaia EDR3 1181245508254835584;285;1,302969;13,91980865;0;0,97372508
Gaia EDR3 1181607110141081984;286;0,898756;14,31747848;0,501182783;0,769737303
Gaia EDR3 118221002047148800;287;0,9076824;14,52297386;0,559370796;0,71088469
Gaia EDR3 1183271186629536512;288;1,2918873;15,09518049;0,435229987;0,966374874
Gaia EDR3 1183473535423719296;289;0,70957565;13,91037989;0,53766775;0,554283082
Gaia EDR3 1183956427187401344;290;0,40400696;13,72591166;0,823453151;0,559240818
Gaia EDR3 1186165582270482688;291;0,56913376;13,48157252;0,532155139;0,544277549
Gaia EDR3 1186502513864638464;292;1,2115726;14,94686368;0,458020413;0,967826009
Gaia EDR3 1188119762325721600;293;-0,29509544;10,49186939;0,544380434;0,869087219
Gaia EDR3 118891502277780352;294;0,23797226;13,38163605;0,907750019;0,611558914
Gaia EDR3 1191742717564070528;295;1,2559452;15,01622732;0,435229986;0,979845703
Gaia EDR3 1192479390353665280;296;0,31385803;12,70665654;0,545712463;0,697643936
Gaia EDR3 1192764133804981376;297;-0,28698826;10,66986806;0,584807778;0,926299334
Gaia EDR3 1193520666521113344;298;0,7940893;14,16824001;0,542164739;0,516891658
Gaia EDR3 1196295211098415616;299;0,9086437;14,40795399;0,51922281;0,972680926
Gaia EDR3 1197139189352207232;300;1,0004158;14,8102915;0,593570864;0,933104038
Gaia EDR3 1197240000824171648;301;0,86068153;14,21565862;0,501555999;0,607377529
Gaia EDR3 1198427031003111552;302;0,4924755;13,3505908;0,565669048;0,571520269
Gaia EDR3 1198632983274798336;303;-0,13650799;11,2386799;0,554167615;0,93337512
Gaia EDR3 1198984345958836864;304;0,9231663;14,30679285;0,479864849;0,687709928
Gaia EDR3 1199192840852373376;305;0,86231804;13,81802503;0,389711197;0,675706148
Gaia EDR3 1199686173677816576;306;0,35436058;13,72191874;0,883018146;0,567551196
Gaia EDR3 1200578152485877376;307;0,55874443;14,00754293;0,747446269;0,532269239
Gaia EDR3 1201115779312352256;308;0,47717476;13,3180722;0,570571413;0,54815799
Gaia EDR3 1201304517354978688;309;0,9542446;14,75203033;0,60983156;0,778013587
Gaia EDR3 1202826348825240832;310;-0,11725807;11,98235424;0,827750425;0,955779552
Gaia EDR3 1203132627235232256;311;0,8782177;14,29009657;0,509060923;0,615195334
Gaia EDR3 1203637376090060928;312;0,3884983;12,24112833;0,358141978;0,701397419
Gaia EDR3 1204095391402194944;313;0,2275753;12,53011367;0,590372531;0,779863
Gaia EDR3 1204316668115496704;314;-4,72E-02;11,80563096;0,668037246;0,933058321
Gaia EDR3 1204450911613674624;315;1,3102283;14,3162475;0;0,962765098
Gaia EDR3 1205467268384479872;316;1,1110878;14,88426133;0,519162979;0,960367084
Gaia EDR3 1206198924646506240;317;1,1358986;14,78757113;0,471354247;0,925716996
Gaia EDR3 120664082524436096;318;-0,115270615;13,51794251;1,237007222;0,744857848
Gaia EDR3 1206715626392179072;319;1,0628204;14,72393224;0,508255223;0,977357864
Gaia EDR3 1207403993686544256;320;0,69244385;13,8083612;0,522025665;0,56441313
Gaia EDR3 1207420658158988160;321;0,8591881;14,40272226;0,561739193;0,593695104
Gaia EDR3 120936319027311744;322;0,99466515;14,44040388;0,473240302;0,793743551
Gaia EDR3 1209640499120458752;323;-1,70E-02;11,58803704;0,548230773;0,925405741
